id,left_image_path,right_image_path,left_higher_division_pressure,pair_weight
005e7096616e,train/7e8da11ec0a4.png,train/8096ad16c66f.png,0,1.626564
008ac4e47554,train/6c59e47d7966.png,train/138b1bc0821f.png,0,2.068483
00f13c1d9126,train/5e63de81560b.png,train/5f0b3c6cd888.png,1,2.816753
01125bfa00bc,train/5a3e2bbe8c24.png,train/3ddb922cb714.png,0,1.360102
013dedf0870c,train/18b717158521.png,train/d31d93071bf1.png,1,2.451986
01ceef1c5b2a,train/3900a09302d9.png,train/31efbc34dffa.png,1,2.938942
01d2827e1620,train/2525736b03c5.png,train/140857456ce3.png,0,1.415015
0265d1f773d5,train/76e1c7c19992.png,train/de6db38941fb.png,0,2.995547
03127802ae14,train/e1b965c8f45a.png,train/4922c3139b81.png,0,3.0
0316293cf97c,train/19ab2a20b571.png,train/f3a11dbc8d1c.png,0,1.748528
03867f4e2b64,train/5a87709d02c5.png,train/5424b0201969.png,1,3.0
03a4e5e18cce,train/d4455ea2f880.png,train/7ded9f987872.png,0,1.575381
03dfb40a6852,train/b07e9310aa4f.png,train/a9488dd8f071.png,1,1.384275
0430a15cc474,train/3e0cb5147ade.png,train/1847002a9c97.png,0,1.721195
04bf9067fe79,train/f2ac7fec06d2.png,train/2a6bbefb777e.png,0,3.0
05465a32f0e3,train/d6f5801c08d9.png,train/808910272136.png,0,1.704507
056eaed7adcf,train/4beb8bf87cd2.png,train/9b2efaa0b9a2.png,1,1.532498
05e380080e17,train/b6165ea5de29.png,train/059a66bf9459.png,0,2.668849
0638aad6e768,train/ca61256354a5.png,train/46be031dcf82.png,1,2.436365
063a3384633a,train/5a3e2bbe8c24.png,train/00dac88c0068.png,1,1.709737
066d93830957,train/cc7033c71826.png,train/a93380332d6f.png,1,2.494581
0685f43d0ce7,train/23c6309aa870.png,train/347f6bc8e8d1.png,1,1.337239
06c288d390f3,train/a7a2be4cf114.png,train/e30cab0ff7d6.png,0,2.942943
073bfb49f2fb,train/5e215bf40e06.png,train/c21645961dcd.png,1,1.491448
07a965d62947,train/e30cab0ff7d6.png,train/32813ca073a4.png,1,3.0
07b82ead1e04,train/26ee662272c7.png,train/45ff137cff43.png,1,2.847529
07efc22608fc,train/0288002b40b8.png,train/9774bf8e93f2.png,1,1.808593
07f414ded7b6,train/aeaf6bd0cf2a.png,train/18121bdcf50c.png,1,1.526937
0879ed1961e0,train/5e215bf40e06.png,train/4305adb36e05.png,0,2.495393
08811458a122,train/32813ca073a4.png,train/58cb7698250f.png,0,2.594211
08da05a1ef60,train/91765c4d6f78.png,train/6fda56bc3a71.png,1,1.472415
08dc407ab7b9,train/106d7bfbaa89.png,train/3efe0d4b9a6d.png,0,1.671751
096a3fdcee3f,train/3fd2105082e1.png,train/a8156bcac10a.png,0,2.356697
0972af6d9f7b,train/d9bb5d98a384.png,train/12aa00ec78ab.png,1,3.0
0990c16afff0,train/b78b53c91b1e.png,train/e68ac09b909c.png,1,3.0
0a2cd367df64,train/2e9db0236bfa.png,train/138b1bc0821f.png,0,2.788944
0ad123ee9d6d,train/b4c159a6b638.png,train/ded746851d27.png,0,2.756583
0ae4b2f2bca0,train/27424dc18b3f.png,train/d981528d6d9c.png,0,2.187166
0b1c2a948125,train/4d865f8928e5.png,train/12c55ae01f30.png,1,1.440955
0b2f5ecfe967,train/4b219931e422.png,train/7b38676dcb50.png,0,2.263497
0b7364fdfd42,train/a35fc11eadb3.png,train/bd7b96224842.png,0,1.497807
0b9180bdaddd,train/19ab2a20b571.png,train/c8e101af7a94.png,0,1.657584
0bc8fdc803ed,train/80af1a2deff2.png,train/18121bdcf50c.png,1,1.737661
0be312590c55,train/7394d42332ac.png,train/bf7613a5db23.png,0,1.908284
0c061026802a,train/4305adb36e05.png,train/e3ce87386265.png,1,2.145818
0c179b308df0,train/58cb7698250f.png,train/a00cfeb6e2ec.png,1,1.851679
0c5632201a93,train/c51034b5e035.png,train/7e49d0542c72.png,0,2.57506
0c6eb53464eb,train/fe59e5638e53.png,train/5f0b3c6cd888.png,1,2.145385
0c94eee57354,train/d0722b4c4ef0.png,train/a1f3907e1e5d.png,0,1.988061
0ca227e47a30,train/40eb5f59da65.png,train/45ff137cff43.png,1,3.0
0ca575560961,train/26034945cf1a.png,train/f629755fd50a.png,1,2.754361
0d23d1bae123,train/a434b8240fcb.png,train/5243e0e9d958.png,1,1.920756
0d50a16c1916,train/f374a24fbcbb.png,train/53940e3f5287.png,0,3.0
0d50ddc1ae43,train/a9488dd8f071.png,train/cee6ef105312.png,0,2.821062
0d88ef09b93c,train/27424dc18b3f.png,train/138b1bc0821f.png,0,2.360724
0dbcb473d1c9,train/703b2b403c4d.png,train/f36685df6162.png,1,2.303013
0deb6f12966d,train/d9bb5d98a384.png,train/24720425a49f.png,1,3.0
0e2c85343c3e,train/443b38d52318.png,train/6ef916d4314c.png,1,2.705954
0e6ed622e20f,train/b4ae30bae7cf.png,train/f629755fd50a.png,1,1.746375
0e7b79321912,train/00fd4d23a2fc.png,train/5243e0e9d958.png,0,1.737921
0ee5f83ea730,train/7ded9f987872.png,train/17c1db08f44a.png,0,2.062946
0f6de202c580,train/e0fe5ab3001d.png,train/3ddb922cb714.png,0,2.610736
0fa7b01b24c1,train/19894eda21d2.png,train/a4d194b1ebdd.png,0,2.55865
0fbe13743053,train/320478842a08.png,train/3900a09302d9.png,0,2.359875
0fda01672e20,train/a9488dd8f071.png,train/6b0791069593.png,0,1.753587
1039f1bd857a,train/3900a09302d9.png,train/bf535ec2a646.png,1,2.037954
11423bb31ce8,train/e36b4d6f4d31.png,train/0b5d58141b4a.png,1,2.489025
119232e25eb8,train/0edb1e287a76.png,train/68c6cc6b0b62.png,0,2.188252
11981334e2b3,train/c533d635778b.png,train/0b5d58141b4a.png,1,1.539238
11fc744202dc,train/c8a147fc7b04.png,train/993ddfafec05.png,1,1.883832
12558d39a156,train/625c25c87de6.png,train/96bd89871ec9.png,1,1.462627
12f8ef50b6fb,train/c8a147fc7b04.png,train/45ff137cff43.png,1,3.0
13a51faeed11,train/e1b965c8f45a.png,train/73b07bac9028.png,0,2.409795
13bc559671c2,train/4beb8bf87cd2.png,train/45ff137cff43.png,1,1.6277
13e348823d51,train/1b55d672baf4.png,train/3dbf84dfc49b.png,1,2.650783
13fe85c12fca,train/eb459aef06bf.png,train/52ab95bc780c.png,0,3.0
14a728c05623,train/e036d1b854f7.png,train/67c8276513cb.png,1,1.93483
14b530be028e,train/8318438f20b6.png,train/95ce558fab48.png,0,2.109879
1511409d3134,train/76278c24d002.png,train/335541cfc685.png,0,3.0
15838713de24,train/fec8cd315790.png,train/4b219931e422.png,1,2.10057
15f4f26adc2f,train/ca61256354a5.png,train/4d865f8928e5.png,1,1.991155
168f1a4b02d0,train/08e5435eb3be.png,train/39e28cae30c0.png,1,1.302592
169ec0a9ef42,train/1def98c11450.png,train/4d5edce4369d.png,0,1.729389
16a0b67d6351,train/3fd2105082e1.png,train/7e9b288f4ffd.png,1,1.819957
16b0c8fa533a,train/7b38676dcb50.png,train/7bd0c08a8ca6.png,0,1.767362
178a54962b7f,train/0db5c79bb10e.png,train/f374a24fbcbb.png,0,1.981176
17d52f44798a,train/2da523fb1eb9.png,train/0cb9e66a19ec.png,0,1.654325
17e978d414ac,train/73de5a66902b.png,train/a9a023569dcd.png,0,3.0
17f51ce234a7,train/632746f7ce88.png,train/e9aa77bf5a97.png,1,1.84104
182c632e2482,train/391dbaec166e.png,train/24f41aa9bae1.png,1,1.636706
184c00f6aa20,train/7b38676dcb50.png,train/382166a08137.png,0,2.449153
1881cfd600f5,train/73f51f1ddc7b.png,train/abb5fc143a31.png,1,2.960505
1886c090904a,train/e1db27f50163.png,train/40eb5f59da65.png,0,2.413058
189cb20a6d26,train/00fd4d23a2fc.png,train/335541cfc685.png,0,2.405161
18bee3286f52,train/31efbc34dffa.png,train/9cb387e0a654.png,0,1.893081
1915ab104749,train/632746f7ce88.png,train/138b1bc0821f.png,0,1.817332
1936f5bfa32f,train/61c665bb5de5.png,train/58f26ae301e2.png,0,1.767112
195a99893280,train/2299d4e91b13.png,train/ccfa986aad95.png,0,2.812844
19694bbf0380,train/aa358b257503.png,train/ca61256354a5.png,0,1.745029
198eb8b86ede,train/453d097017fe.png,train/784409c63fa6.png,1,2.242696
19c18ab1411e,train/7e797952187d.png,train/e74e51437b10.png,1,1.736695
19dc77d2e1d3,train/0b2cf1c579d2.png,train/4305adb36e05.png,1,1.751436
19e914ebf8cd,train/7bce8d461d87.png,train/f36685df6162.png,1,2.032145
